q_id,questions,answer,source
unknown,依據食安法規定，應設置實驗室之食品業者，其資本額規模門檻為何？,資料不足無法回答。,1.pdf
unknown,未登記工廠申請納管的截止日期是哪一天？,資料不足無法回答,1.pdf
unknown,新修正之不動產說明書應記載及不得記載事項，生效日期為何？,資料不足無法回答,1.pdf
unknown,在屏東大學公文系統中，若無法開啟公文製作，應檢查電腦中哪個資料夾是否存在？,資料不足無法回答,1.pdf
unknown,進行注射劑目視檢查時，檢查點的最低照明亮度應維持在多少範圍？,檢查點的最低照明亮度應維持在2000～3750勒克司。,1.pdf
unknown,上市、上櫃食品業者若未依規定設置實驗室，將面臨多少罰鍰？,資料不足無法回答,1.pdf
unknown,納管輔導金的計算方式中，廠地面積在300平方公尺以內應繳交多少金額？,資料不足無法回答,1.pdf
unknown,不動產經紀人在不動產說明書上的簽章方式有何限制？,資料不足無法回答。,1.pdf
unknown,在公文系統中，若要進行「內會」（單位內相互會辦），且對象為不同組/系的單位，應如何處理？,資料不足無法回答。,1.pdf
unknown,依據中華藥典，檢查注射劑時在每個背景下應進行大約幾秒的檢查？,依據中華藥典第九版通則（4793），檢查時應在每個背景下進行大約五秒的檢查。,1.pdf
unknown,依據規定，「上市、上櫃之食品業者」的定義中，其餐飲收入佔比需達多少？,資料不足無法回答,1.pdf
unknown,汽車修理業或倉庫是否可以辦理未登記工廠納管？,資料不足無法回答。,1.pdf
unknown,不動產說明書是否必須指派不動產經紀人簽章？其目的為何？,資料不足無法回答。,1.pdf
unknown,在公文系統中，若想將公文存成可被 Word 開啟的檔案，應選擇哪種檔案格式？,資料不足無法回答,1.pdf
unknown,關於注射劑檢查，何謂「內在」或「固有」粒子？,資料不足無法回答。,1.pdf
unknown,若食品業者已自設實驗室，是否可以將檢驗工作委外？,資料不足無法回答。,1.pdf
unknown,申請特定工廠登記時，若要提出用電證明，須為哪個日期之前的證明文件？,資料不足無法回答,1.pdf
unknown,屏東大學公文系統建議將哪個 IP網段加入 IE 的信任網站以避免登入問題？,資料不足無法回答,1.pdf
unknown,進行注射劑檢查時，應使用哪兩種顏色的背景？,進行注射劑檢查時，應使用黑色背景和白色背景。,1.pdf
unknown,若食品業者的產品檢出不合格，依食安法規定應採取什麼行動？,資料不足無法回答。,1.pdf
